# T0 = 300
# mxlib uncomp [dev]: 15c346a9a22d5b28a2224372f9d9f720bd775978
# mxlib comp [dev]: 38139e97f9e4c035fd45e2571fd22f6c821a6b80
# pointingEnv [main]: 3cf5ddfc1a0da1f0a303c92d477776fbd28ce3a2
1 1.18921 0.25
1 1.41421 0.25
1 1.68179 0.25
1 2 0.25
1 2.37841 0.25
1 2.82843 0.25
1 3.36359 0.25
1 4 0.25
1 4.75683 0.25
1 5.65685 0.25
1 6.72717 0.25
1 8 0.25
1 9.51366 0.25
1 11.3137 1.17805
1 13.4543 13.118
1 16 376.784
1 19.0273 nan
1 22.6274 nan
1 26.9087 nan
1 32 nan
1 38.0546 nan
1 45.2548 nan
1 53.8174 nan
1 64 nan
1 76.1093 nan
1 90.5097 nan
1 107.635 nan
1 128 nan
1 152.219 nan
1 181.019 nan
1 215.269 nan
1 256 nan
1 304.437 nan
1 362.039 nan
1 430.539 nan
1 512 nan
1 608.874 nan
1 724.077 nan
1 861.078 nan
1 1024 nan
1 1217.75 nan
1 1448.15 nan
1 1722.16 nan
1 2048 nan
1 2435.5 nan
1 2896.31 nan
1 3444.31 nan

1.1 1.18921 0.25
1.1 1.41421 0.25
1.1 1.68179 0.25
1.1 2 0.25
1.1 2.37841 0.25
1.1 2.82843 0.25
1.1 3.36359 0.25
1.1 4 0.25
1.1 4.75683 0.25
1.1 5.65685 0.25
1.1 6.72717 0.25
1.1 8 0.25
1.1 9.51366 0.25
1.1 11.3137 0.747734
1.1 13.4543 3.79102
1.1 16 24.6999
1.1 19.0273 213.492
1.1 22.6274 2417.01
1.1 26.9087 nan
1.1 32 nan
1.1 38.0546 nan
1.1 45.2548 nan
1.1 53.8174 nan
1.1 64 nan
1.1 76.1093 nan
1.1 90.5097 nan
1.1 107.635 nan
1.1 128 nan
1.1 152.219 nan
1.1 181.019 nan
1.1 215.269 nan
1.1 256 nan
1.1 304.437 nan
1.1 362.039 nan
1.1 430.539 nan
1.1 512 nan
1.1 608.874 nan
1.1 724.077 nan
1.1 861.078 nan
1.1 1024 nan
1.1 1217.75 nan
1.1 1448.15 nan
1.1 1722.16 nan
1.1 2048 nan
1.1 2435.5 nan
1.1 2896.31 nan
1.1 3444.31 nan

1.2 1.18921 0.25
1.2 1.41421 0.25
1.2 1.68179 0.25
1.2 2 0.25
1.2 2.37841 0.25
1.2 2.82843 0.25
1.2 3.36359 0.25
1.2 4 0.25
1.2 4.75683 0.25
1.2 5.65685 0.25
1.2 6.72717 0.25
1.2 8 0.25
1.2 9.51366 0.25
1.2 11.3137 0.5426
1.2 13.4543 1.8508
1.2 16 6.75188
1.2 19.0273 27.0575
1.2 22.6274 117.95
1.2 26.9087 550.587
1.2 32 2711.48
1.2 38.0546 nan
1.2 45.2548 nan
1.2 53.8174 nan
1.2 64 nan
1.2 76.1093 nan
1.2 90.5097 nan
1.2 107.635 nan
1.2 128 nan
1.2 152.219 nan
1.2 181.019 nan
1.2 215.269 nan
1.2 256 nan
1.2 304.437 nan
1.2 362.039 nan
1.2 430.539 nan
1.2 512 nan
1.2 608.874 nan
1.2 724.077 nan
1.2 861.078 nan
1.2 1024 nan
1.2 1217.75 nan
1.2 1448.15 nan
1.2 1722.16 nan
1.2 2048 nan
1.2 2435.5 nan
1.2 2896.31 nan
1.2 3444.31 nan

1.3 1.18921 0.25
1.3 1.41421 0.25
1.3 1.68179 0.25
1.3 2 0.25
1.3 2.37841 0.25
1.3 2.82843 0.25
1.3 3.36359 0.25
1.3 4 0.25
1.3 4.75683 0.25
1.3 5.65685 0.25
1.3 6.72717 0.25
1.3 8 0.25
1.3 9.51366 0.25
1.3 11.3137 0.421534
1.3 13.4543 1.14328
1.3 16 3.07485
1.3 19.0273 8.52756
1.3 22.6274 24.5062
1.3 26.9087 72.2428
1.3 32 217.539
1.3 38.0546 665.023
1.3 45.2548 2055.2
1.3 53.8174 nan
1.3 64 nan
1.3 76.1093 nan
1.3 90.5097 nan
1.3 107.635 nan
1.3 128 nan
1.3 152.219 nan
